"","client_id","district_id","birth_year","birth_month","birth_day","gender"
"75",79,37,1969,3,10,0
"76",80,64,1979,2,25,0
"77",81,8,1976,4,29,1
"78",82,8,1979,12,25,0
"79",83,1,1978,12,25,0
"80",84,1,1979,5,5,1
"81",85,1,1961,8,27,1
"82",86,1,1969,7,20,0
"83",87,72,1946,11,17,0
"84",89,1,1951,5,5,0
"85",90,52,1975,8,17,1
"86",91,63,1940,8,7,1
"87",92,74,1966,6,12,0
"88",93,3,1925,2,16,1
"89",94,43,1947,9,9,1
"90",95,43,1952,8,3,0
"91",96,74,1972,2,29,1
"92",97,26,1965,11,28,1
"93",98,33,1973,5,4,0
"94",99,33,1973,1,26,1
"95",100,44,1942,8,11,0
"96",101,68,1943,1,23,1
"97",102,74,1958,9,10,0
"98",103,74,1955,7,11,1
"99",105,31,1980,5,26,1
"100",106,68,1968,12,30,0
"101",107,1,1972,6,23,1
"102",108,17,1963,9,13,1
"103",110,2,1967,4,13,0
"104",112,1,1935,1,25,1
"105",113,1,1940,8,15,0
"106",114,74,1969,6,24,0
"107",115,74,1969,12,24,1
"108",116,74,1942,1,28,1
"109",117,74,1936,9,20,0
"110",118,55,1922,7,19,1
"111",119,55,1922,2,28,0
"112",120,1,1976,5,10,1
"113",121,41,1978,10,29,0
"114",122,35,1963,11,13,0
"115",123,11,1969,2,12,1
"116",124,44,1967,9,21,1
"117",125,37,1936,10,31,1
"118",126,37,1929,9,27,0
"119",127,21,1950,12,27,0
"120",128,63,1973,4,4,0
"121",129,64,1947,5,31,0
"122",130,53,1942,2,14,1
"123",131,53,1977,1,31,0
"124",132,36,1953,1,26,1
"125",134,6,1932,1,18,1
"126",135,6,1938,9,10,0
"127",136,55,1921,1,26,0
"128",137,60,1923,9,14,1
"129",138,54,1972,10,21,0
"130",139,8,1959,7,25,0
"131",140,8,1961,6,6,1
"132",141,31,1925,11,2,1
"133",142,68,1937,6,21,1
"134",143,27,1978,7,9,1
"135",144,65,1958,12,6,1
"136",145,55,1978,2,14,1
"137",146,31,1961,12,19,0
"138",147,21,1933,11,2,0
"139",148,21,1940,12,25,1
"140",149,55,1948,6,27,1
"141",150,2,1980,9,27,0
"142",151,51,1971,9,23,0
"143",152,29,1945,12,2,0
"144",153,13,1981,2,12,0
"145",154,74,1933,8,27,1
"146",155,74,1939,3,13,0
"147",156,54,1930,7,22,0
"148",157,52,1943,7,9,0
"149",158,40,1945,7,3,0
"150",159,40,1938,9,10,1
"151",160,64,1942,4,26,0
"152",161,34,1943,10,7,0
"153",162,65,1941,10,17,1
"154",163,74,1933,6,12,1
"155",164,70,1962,4,4,0
"156",165,22,1968,11,8,1
"157",166,22,1961,10,22,0
"158",167,38,1978,4,18,0
"159",168,24,1976,11,5,0
"160",169,38,1953,9,12,1
"161",170,38,1946,6,16,0
"162",171,51,1929,6,25,1
"163",172,51,1935,10,5,0
"164",173,21,1918,12,8,0
"165",174,10,1978,11,10,1
"166",175,31,1960,7,13,1
"167",176,4,1929,3,11,1
"168",178,8,1960,12,22,1
"169",179,43,1980,12,29,1
"170",180,73,1982,1,19,1
"171",181,76,1967,7,6,1
"172",182,76,1959,7,13,0
"173",183,1,1978,3,19,0
"174",184,1,1972,6,5,1
"175",185,77,1954,5,30,1
"176",186,46,1961,2,22,0
"177",187,58,1942,8,23,1
"178",188,64,1960,9,2,1
"179",189,11,1919,8,10,1
"180",190,37,1947,10,31,0
"181",191,37,1954,9,3,1
"182",192,70,1971,2,28,1
"183",193,1,1962,5,1,1
"184",194,28,1924,12,20,0
"185",195,74,1919,11,18,1
"186",196,74,1927,6,25,0
"187",197,30,1933,4,25,1
"188",198,60,1976,7,14,1
"189",199,29,1923,6,21,1
"190",200,29,1928,1,13,0
"191",201,17,1930,8,19,0
"192",202,29,1976,11,21,0
"193",203,31,1962,6,10,1
"194",204,31,1967,6,17,0
"195",205,4,1942,6,15,0
"196",206,59,1963,4,13,0
"197",207,46,1932,5,20,1
"198",208,13,1940,6,25,0
"199",209,13,1935,8,20,1
"200",210,66,1939,11,30,1
"201",211,66,1945,6,28,0
"202",212,52,1975,2,10,1
"203",215,71,1967,9,24,1
"204",216,1,1960,1,30,1
"205",217,59,1974,12,22,0
"206",218,1,1980,1,23,0
"207",219,60,1964,4,2,0
"208",221,21,1977,2,25,0
"209",222,47,1972,6,29,0
"210",223,43,1952,2,27,0
"211",224,77,1955,5,11,1
"212",225,32,1936,5,10,1
"213",226,1,1942,6,16,1
"214",227,52,1926,12,18,0
"215",228,48,1956,3,16,0
"216",229,76,1969,7,22,1
"217",230,74,1967,3,10,0
"218",231,41,1941,2,18,1
"219",232,55,1921,6,17,0
"220",233,69,1958,12,3,0
"221",234,69,1955,6,21,1
"222",235,44,1943,8,28,0
"223",236,70,1961,9,1,1
"224",237,70,1969,2,22,0
"225",238,6,1961,11,28,0
"226",239,1,1974,9,10,0
"227",240,34,1929,6,17,0
"228",241,70,1959,1,23,1
"229",242,17,1961,8,1,0
"230",243,63,1954,2,10,1
"231",246,67,1970,12,28,0
"232",247,1,1957,5,8,1
"233",248,61,1969,12,12,0
"234",249,61,1970,5,5,1
"235",250,8,1979,11,25,0
"236",251,54,1976,3,3,0
"237",252,37,1969,9,1,0
"238",253,48,1947,5,12,0
"239",254,28,1963,5,30,1
"240",255,27,1951,10,11,0
"241",256,73,1963,2,27,0
"242",257,22,1942,11,4,0
"243",258,22,1937,5,31,1
"244",259,31,1966,6,8,1
"245",260,31,1962,2,24,0
"246",261,38,1937,12,7,0
"247",262,77,1945,11,25,1
"248",263,68,1962,5,20,1
"249",264,28,1978,8,22,1
"250",265,72,1933,1,7,0
"251",266,19,1967,8,28,0
"252",267,37,1967,6,12,1
"253",268,39,1982,5,2,0
"254",269,15,1923,12,3,0
"255",270,46,1947,3,8,1
"256",271,46,1945,7,27,0
"257",272,70,1944,10,25,0
"258",273,27,1972,5,15,0
"259",274,17,1970,11,25,0
"260",275,1,1918,11,12,0
"261",276,1,1957,6,11,1
"262",277,1,1961,11,28,0
"263",278,22,1972,12,27,0
"264",279,22,1970,5,16,1
"265",280,45,1969,12,18,0
"266",282,73,1938,2,24,0
"267",283,73,1933,11,4,1
"268",284,10,1974,8,6,1
"269",285,72,1954,6,3,1
"270",286,72,1952,4,18,0
"271",287,50,1980,9,9,1
"272",288,6,1962,4,21,1
"273",289,54,1958,3,27,1
"274",290,72,1959,1,12,1
"275",291,72,1955,4,27,0
"276",292,15,1958,9,6,0
"277",293,69,1943,9,27,1
"278",294,58,1968,3,21,1
"279",295,12,1939,3,27,1
"280",296,65,1974,3,1,1
"281",297,65,1924,3,15,0
"282",298,65,1921,6,13,1
"283",300,1,1957,7,30,0
"284",301,28,1942,1,10,1
"285",302,56,1971,2,23,1
"286",303,74,1946,5,6,1
"287",304,19,1934,3,11,0
"288",305,46,1938,6,8,1
"289",308,68,1976,6,12,0
"290",309,37,1969,12,14,0
"291",310,11,1950,4,16,1
"292",311,64,1930,9,16,0
"293",312,2,1924,7,3,1
"294",313,24,1942,5,11,0
"295",314,24,1945,3,22,1
"296",315,54,1967,5,1,1
"297",316,75,1955,4,28,1
"298",317,64,1957,10,6,0
"299",318,15,1943,4,2,0
"300",319,19,1929,4,4,0
"301",320,19,1934,11,12,1
"302",321,47,1943,10,24,0
"303",322,38,1933,2,1,1
"304",323,38,1938,4,4,0
"305",324,3,1960,12,3,1
"306",325,3,1960,2,21,1
"307",326,27,1967,9,18,0
"308",327,27,1968,10,13,1
"309",328,1,1918,1,24,0
"310",329,11,1964,12,3,1
"311",330,65,1944,8,5,0
"312",331,1,1942,3,2,1
"313",332,29,1978,7,25,1
"314",333,38,1971,10,19,1
"315",334,32,1969,10,31,1
"316",335,73,1967,7,22,0
"317",336,39,1964,2,11,0
"318",337,39,1957,5,8,1
"319",338,8,1951,6,19,0
"320",339,1,1966,7,30,1
"321",340,1,1970,8,19,0
"322",341,69,1977,3,16,1
"323",342,69,1972,6,30,0
"324",343,44,1919,11,19,1
"325",344,54,1963,7,16,0
"326",345,17,1953,12,7,1
"327",346,17,1960,11,2,0
"328",347,71,1959,12,13,1
"329",348,71,1953,1,24,0
"330",349,39,1927,5,27,0
"331",350,25,1925,4,2,0
"332",351,1,1973,5,1,1
"333",352,56,1940,8,27,1
"334",353,7,1965,10,26,1
"335",354,49,1922,4,27,0
"336",355,49,1930,5,31,1
"337",356,1,1979,12,7,0
"338",357,1,1979,3,30,1
"339",358,7,1959,6,26,0
"340",359,66,1970,2,16,1
"341",360,49,1943,4,27,1
"342",361,74,1977,5,25,0
"343",362,35,1950,4,27,0
"344",363,35,1942,7,1,1
"345",364,54,1942,12,5,0
"346",365,1,1930,1,9,1
"347",366,1,1936,11,10,0
"348",367,60,1963,9,3,0
"349",368,60,1968,10,14,1
"350",369,7,1930,11,6,0
"351",370,71,1956,1,5,0
"352",371,4,1942,7,16,1
"353",372,34,1932,4,3,1
"354",373,16,1936,2,28,1
"355",374,26,1967,6,14,1
"356",375,61,1969,9,29,0
"357",376,14,1973,1,8,0
"358",378,50,1978,5,15,1
"359",379,50,1983,10,13,0
"360",380,41,1973,1,19,1
"361",381,73,1977,1,26,0
"362",382,73,1978,6,30,1
"363",383,15,1939,5,17,0
"364",384,15,1935,10,8,1
"365",385,45,1948,3,24,1
"366",386,62,1980,8,21,1
"367",387,76,1927,6,6,1
"368",388,36,1950,10,30,0
"369",389,47,1974,6,30,0
"370",390,47,1977,1,27,0
"371",391,47,1933,5,22,0
"372",392,74,1950,4,1,0
"373",393,74,1956,8,31,1
"374",394,52,1924,5,18,0
"375",395,52,1919,7,5,1
"376",396,1,1920,5,2,1
"377",397,75,1930,3,27,1
"378",398,61,1925,3,26,0
"379",399,45,1952,4,14,1
"380",400,1,1933,12,27,1
"381",401,1,1928,11,19,0
"382",402,3,1943,12,25,1
"383",403,42,1973,5,26,0
"384",404,42,1967,4,20,1
"385",405,65,1934,10,19,0
"386",406,36,1977,5,15,1
"387",407,73,1975,5,27,0
"388",408,35,1978,2,22,0
"389",409,74,1925,6,18,1
"390",410,62,1962,12,20,1
"391",411,17,1941,4,14,0
"392",412,17,1944,4,17,1
"393",413,49,1972,11,18,0
"394",414,46,1947,10,19,0
"395",415,46,1945,4,1,1
"396",416,1,1932,10,7,0
"397",417,1,1930,6,10,1
"398",418,28,1966,10,13,1
"399",419,64,1970,10,7,0
"400",420,18,1978,3,13,1
"401",421,54,1965,7,31,1
"402",422,69,1946,12,7,1
"403",423,37,1957,6,23,1
"404",424,1,1947,10,8,1
"405",425,25,1948,2,12,1
"406",426,72,1937,6,1,1
"407",427,72,1941,9,14,0
"408",428,47,1919,11,16,0
"409",429,50,1981,1,20,0
"410",430,39,1920,7,28,1
"411",431,24,1927,10,1,0
"412",432,59,1952,3,26,0
"413",433,62,1955,2,7,1
"414",434,70,1943,1,30,0
"415",435,20,1967,10,23,1
"416",436,2,1955,6,15,1
"417",437,11,1920,1,17,0
"418",438,32,1938,9,28,1
"419",439,51,1968,9,12,0
"420",440,15,1970,7,7,0
"421",441,1,1959,9,14,1
"422",442,1,1971,12,16,0
"423",443,1,1971,12,20,1
"424",444,74,1960,8,1,0
"425",445,1,1947,4,27,0
"426",446,1,1952,3,19,1
"427",447,23,1946,9,4,1
"428",448,77,1970,8,15,0
"429",450,25,1953,11,27,1
"430",451,12,1979,4,14,1
"431",452,55,1953,10,22,0
"432",453,67,1969,7,16,1
"433",454,38,1949,6,15,0
"434",455,68,1920,7,26,1
"435",456,25,1940,2,28,1
"436",457,70,1950,9,26,1
"437",458,68,1961,7,24,1
"438",459,32,1967,7,23,0
"439",461,68,1970,8,13,0
"440",462,14,1970,12,21,1
"441",463,38,1944,4,5,1
"442",464,24,1959,7,30,0
"443",465,5,1952,9,1,1
"444",466,1,1947,11,19,0
"445",467,1,1950,4,17,1
"446",468,72,1959,4,27,1
"447",469,59,1970,10,13,0
"448",470,30,1954,4,21,0
"449",471,44,1977,1,11,1
"450",472,36,1981,12,27,1
"451",473,1,1939,9,25,0
"452",474,46,1949,5,31,1
"453",476,1,1947,6,1,0
"454",477,1,1954,7,20,1
"455",478,21,1978,6,21,1
"456",479,11,1947,8,20,1
"457",480,11,1946,1,24,0
"458",481,69,1927,1,22,1
"459",482,69,1934,1,22,0
"460",483,1,1944,6,19,1
"461",484,28,1959,9,13,0
"462",485,32,1978,5,16,1
"463",486,68,1944,4,12,1
"464",487,1,1922,4,1,0
"465",488,1,1917,8,2,1
"466",489,41,1940,10,7,1
"467",490,55,1950,10,23,1
"468",491,63,1966,8,5,1
"469",492,72,1935,10,26,1
"470",493,41,1942,6,4,0
"471",494,1,1980,5,19,1
"472",495,49,1937,4,7,0
"473",496,70,1951,5,21,0
"474",497,74,1953,2,2,1
"475",498,74,1948,1,15,0
"476",499,18,1935,7,8,0
"477",500,1,1971,1,6,1
"478",501,62,1937,10,28,1
"479",502,6,1919,12,8,1
"480",503,73,1959,7,24,1
"481",504,36,1979,8,1,1
"482",505,13,1977,12,21,1
"483",506,75,1946,8,16,1
"484",507,75,1954,11,16,1
"485",508,53,1971,4,28,1
"486",509,73,1980,5,2,1
"487",510,12,1976,4,15,1
"488",511,9,1959,2,18,1
"489",512,60,1965,8,3,0
"490",513,8,1974,1,11,0
"491",514,8,1968,11,15,1
"492",515,1,1932,5,26,1
"493",516,1,1930,4,27,0
"494",517,63,1965,7,25,1
"495",518,54,1979,4,28,0
"496",519,18,1980,4,13,1
"497",520,46,1947,9,27,0
"498",521,69,1975,12,25,1
"499",522,1,1956,3,4,0
"500",523,38,1922,12,17,1
"501",524,30,1963,1,2,0
"502",525,30,1969,8,14,1
"503",526,43,1964,2,1,1
"504",527,43,1966,8,18,0
"505",528,37,1977,2,11,1
"506",529,69,1978,11,5,1
"507",530,29,1957,9,27,0
"508",531,27,1976,10,4,1
"509",532,27,1980,9,3,0
"510",533,54,1941,5,19,0
"511",534,74,1957,7,22,1
"512",535,26,1937,9,9,1
"513",536,47,1939,8,25,1
"514",537,1,1935,1,16,1
"515",538,5,1948,5,10,0
"516",540,19,1921,7,28,1
"517",541,19,1927,3,9,0
"518",542,59,1921,2,9,0
"519",543,11,1958,4,15,0
"520",544,63,1948,11,16,1
"521",545,75,1973,10,11,0
"522",546,7,1953,8,25,1
"523",547,54,1949,3,31,1
"524",548,49,1937,12,4,1
"525",550,7,1961,11,30,1
"526",551,47,1976,7,5,0
"527",552,1,1934,5,8,0
"528",553,1,1941,4,7,1
"529",554,30,1925,4,19,0
"530",555,30,1926,10,21,1
"531",556,29,1946,7,8,1
"532",557,51,1939,7,17,1
"533",558,43,1920,7,5,0
"534",559,32,1972,9,5,0
"535",560,71,1967,12,16,0
"536",561,74,1962,11,10,0
"537",562,49,1975,9,22,0
"538",563,72,1961,9,9,0
"539",564,72,1955,1,24,1
"540",565,64,1959,7,3,0
"541",566,47,1946,3,5,0
"542",567,47,1950,5,2,1
"543",568,8,1960,7,19,0
"544",569,73,1962,6,15,1
"545",570,61,1941,1,31,0
"546",571,3,1924,9,27,1
"547",572,3,1920,8,4,0
"548",573,69,1967,8,10,1
"549",574,1,1972,12,25,1
"550",575,58,1970,4,4,1
"551",576,58,1974,5,12,0
"552",577,1,1963,12,5,0
"553",578,23,1977,7,7,0
"554",579,72,1933,5,31,0
"555",581,70,1949,2,4,0
"556",582,1,1950,9,26,1
"557",583,75,1965,1,1,0
"558",584,33,1976,5,13,0
"559",585,40,1942,2,21,0
"560",586,40,1947,11,3,1
"561",587,25,1945,7,8,0
"562",588,61,1960,10,20,0
"563",589,45,1961,9,17,1
"564",590,44,1949,2,15,1
"565",591,65,1974,10,29,0
"566",592,26,1965,7,18,1
"567",593,60,1954,7,10,0
"568",596,69,1948,10,24,1
"569",597,55,1943,2,22,1
"570",598,1,1970,12,31,1
"571",599,1,1977,5,18,0
"572",601,56,1966,3,12,1
"573",602,56,1965,1,16,0
"574",603,13,1966,3,9,0
"575",604,1,1965,7,31,0
"576",605,1,1970,8,27,0
"577",606,10,1949,1,25,0
"578",607,64,1964,3,30,1
"579",608,67,1972,8,31,1
"580",609,52,1962,9,2,1
"581",610,74,1979,8,10,0
"582",611,36,1952,10,13,1
"583",612,36,1960,11,10,0
"584",613,1,1977,8,10,0
"585",614,14,1947,2,3,0
"586",615,68,1949,9,13,0
"587",616,58,1975,1,1,1
"588",617,70,1974,3,14,1
"589",618,57,1932,3,16,0
"590",619,6,1920,9,7,1
"591",620,6,1918,2,13,0
"592",621,54,1939,3,17,1
"593",622,74,1931,11,23,0
"594",623,24,1925,9,4,1
"595",624,24,1932,7,26,0
"596",625,60,1978,11,24,0
"597",626,9,1980,4,13,1
"598",627,17,1972,4,11,1
"599",628,17,1970,5,27,0
"600",629,16,1976,3,10,1
"601",630,61,1952,3,3,1
"602",631,70,1956,3,22,0
"603",632,67,1946,3,16,1
"604",633,67,1938,6,12,0
"605",635,17,1927,6,29,0
"606",636,17,1935,2,17,1
"607",637,39,1970,12,15,0
"608",638,54,1961,2,3,0
"609",639,31,1978,8,2,1
"610",640,26,1979,4,15,1
"611",641,40,1962,7,4,0
"612",642,40,1963,10,25,1
"613",643,1,1949,6,13,0
"614",644,35,1961,4,23,0
"615",645,14,1925,12,21,1
"616",646,34,1922,9,29,0
"617",647,34,1929,4,6,1
"618",648,70,1935,9,28,0
"619",649,13,1978,5,2,0
"620",651,54,1976,1,27,0
"621",652,61,1938,12,8,1
"622",653,1,1930,11,21,0
"623",654,64,1942,5,17,0
"624",655,32,1942,12,10,1
"625",656,1,1956,6,6,1
"626",657,8,1926,7,10,0
"627",658,8,1926,12,21,1
"628",659,24,1965,12,7,1
"629",660,16,1923,3,22,1
"630",661,16,1919,1,15,0
"631",662,5,1945,8,7,1
"632",663,24,1923,1,20,1
"633",664,77,1980,3,19,0
"634",665,62,1932,4,5,0
"635",666,26,1982,5,23,1
"636",667,26,1981,7,20,0
"637",668,1,1942,12,25,0
"638",669,12,1956,12,19,0
"639",670,1,1959,1,21,1
"640",671,10,1971,2,27,0
"641",672,46,1929,11,9,0
"642",673,36,1939,10,29,1
"643",674,11,1927,1,11,0
"644",675,50,1975,11,12,1
"645",676,70,1953,2,7,1
"646",677,5,1963,5,24,1
"647",678,39,1933,5,28,0
"648",679,8,1940,3,19,1
"649",680,8,1940,5,9,0
"650",681,15,1977,1,15,1
"651",682,18,1979,10,21,1
"652",683,76,1945,8,29,0
"653",684,3,1976,4,10,0
"654",685,72,1930,12,13,0
"655",686,32,1971,10,3,0
"656",687,32,1975,1,28,1
"657",688,1,1954,5,4,1
"658",689,70,1964,8,2,1
"659",690,38,1942,11,7,1
"660",691,38,1944,1,13,0
"661",692,74,1936,1,11,0
"662",693,74,1935,3,17,1
"663",694,29,1936,2,28,1
"664",695,28,1955,6,27,1
"665",696,28,1952,12,1,0
"666",697,1,1974,5,1,1
"667",698,75,1954,2,27,1
"668",699,26,1922,4,22,0
"669",700,12,1929,11,20,1
"670",702,31,1968,11,7,0
"671",703,4,1959,4,26,1
"672",704,54,1975,5,1,1
"673",705,19,1938,12,10,1
"674",706,1,1948,8,5,1
"675",707,1,1941,12,14,1
"676",708,50,1977,11,27,0
"677",709,1,1934,12,29,1
"678",710,23,1925,11,28,1
"679",711,48,1963,8,16,0
"680",712,54,1962,12,4,1
"681",713,20,1980,3,29,0
"682",714,31,1970,10,8,1
"683",715,1,1952,1,15,0
"684",716,1,1954,12,4,0
"685",717,54,1968,5,2,1
"686",718,54,1960,2,28,0
"687",719,46,1974,8,9,1
"688",720,29,1954,9,6,1
"689",721,43,1940,2,15,1
"690",722,62,1970,11,25,0
"691",723,12,1957,7,26,0
"692",724,65,1953,2,2,0
"693",725,75,1956,12,11,1
"694",726,16,1935,2,13,1
"695",727,32,1930,7,20,0
"696",728,32,1932,1,20,1
"697",729,63,1969,3,17,0
"698",730,63,1973,8,14,1
"699",731,74,1979,1,22,0
"700",732,74,1978,7,5,1
"701",733,46,1978,7,28,1
"702",734,46,1985,1,14,0
"703",735,1,1973,11,26,1
"704",736,1,1977,4,26,0
"705",737,74,1952,11,4,1
"706",738,25,1920,3,26,1
"707",739,72,1942,4,16,1
"708",740,55,1923,11,7,1
"709",741,74,1941,7,9,1
"710",742,1,1951,10,15,0
"711",743,1,1941,2,17,1
"712",744,26,1940,7,18,1
"713",745,52,1966,2,14,0
"714",746,52,1962,4,16,1
"715",747,24,1953,8,20,0
"716",748,25,1936,10,15,1
"717",749,25,1933,7,29,0
"718",750,70,1956,9,29,0
"719",751,70,1959,3,9,1
"720",752,72,1944,12,20,1
"721",753,72,1940,9,24,0
"722",754,63,1947,6,4,0
"723",755,72,1947,11,21,1
"724",756,31,1920,5,13,1
"725",757,71,1970,12,20,0
"726",758,68,1961,7,26,0
"727",759,29,1955,5,20,1
"728",760,57,1936,8,25,0
"729",762,21,1937,4,20,1
"730",763,75,1927,8,24,0
"731",764,49,1955,10,13,0
"732",765,65,1969,12,31,1
"733",766,1,1926,7,3,0
"734",767,1,1923,6,16,1
"735",768,32,1931,9,23,0
"736",769,40,1977,12,15,1
"737",772,64,1944,12,10,1
"738",773,4,1935,10,30,1
"739",774,70,1973,3,3,1
"740",775,51,1940,11,30,0
"741",776,1,1953,5,3,0
"742",777,1,1961,5,20,1
"743",778,13,1940,6,4,1
"744",779,69,1944,6,12,0
"745",780,3,1924,2,26,1
"746",781,72,1945,9,20,1
"747",782,5,1963,3,18,0
"748",783,27,1971,3,25,0
"749",784,27,1964,12,28,1
"750",785,63,1934,9,9,1
"751",786,53,1978,9,6,1
"752",787,3,1947,12,8,1
"753",788,47,1974,9,3,1
"754",789,4,1931,9,21,1
"755",790,63,1967,5,9,0
"756",791,68,1950,9,29,0
"757",793,21,1978,2,4,1
"758",794,21,1979,7,16,0
"759",796,1,1919,8,30,1
"760",797,8,1948,1,27,1
"761",798,27,1940,2,12,0
"762",799,27,1936,2,19,1
"763",803,35,1951,2,15,1
"764",804,35,1956,1,23,0
"765",806,60,1980,4,22,1
"766",807,53,1969,10,21,0
"767",808,31,1963,11,28,1
"768",809,49,1919,10,15,1
"769",810,58,1945,9,24,0
"770",811,58,1940,5,28,1
"771",812,39,1940,12,6,1
"772",813,70,1964,1,29,1
"773",814,19,1959,10,1,1
"774",815,22,1964,10,27,0
"775",816,17,1958,2,1,0
"776",818,54,1966,4,27,1
"777",819,74,1958,7,8,1
"778",820,74,1960,11,6,0
"779",821,49,1948,5,12,1
"780",822,37,1959,5,8,0
"781",823,41,1956,10,24,1
"782",824,27,1952,9,5,1
"783",825,74,1977,4,2,1
"784",826,1,1978,1,23,1
"785",827,10,1965,9,4,0
"786",828,10,1958,12,10,1
"787",829,24,1957,5,19,1
"788",830,69,1948,8,27,1
"789",831,2,1948,5,2,1
"790",832,67,1923,12,23,0
"791",833,5,1960,6,11,1
"792",834,54,1922,12,17,1
"793",835,28,1943,10,20,0
"794",836,28,1948,6,14,1
"795",837,71,1974,10,14,1
"796",838,71,1968,2,4,0
"797",839,47,1955,5,18,0
"798",840,20,1937,4,26,1
"799",841,69,1981,2,10,1
"800",842,12,1933,7,3,0
"801",843,54,1957,9,3,0
"802",844,22,1945,1,14,1
"803",845,22,1953,1,30,0
"804",846,35,1949,12,1,1
"805",847,49,1979,12,25,1
"806",849,26,1939,6,6,0
"807",850,19,1969,9,21,1
"808",851,25,1919,6,16,1
"809",852,25,1916,6,4,0
"810",853,70,1949,6,2,1
"811",854,72,1941,11,2,0
"812",855,58,1930,1,28,1
"813",856,23,1919,1,22,1
"814",857,32,1948,2,21,1
"815",858,47,1959,3,29,0
"816",859,1,1968,7,29,0
"817",860,1,1967,12,8,1
"818",861,1,1956,9,13,0
"819",862,30,1952,1,5,1
"820",863,54,1968,11,29,0
"821",864,11,1953,3,27,1
"822",865,11,1946,11,3,0
"823",866,38,1975,11,24,0
"824",870,70,1957,5,6,1
"825",871,76,1974,3,11,1
"826",872,35,1963,2,22,1
"827",873,60,1944,1,5,1
"828",874,14,1952,9,5,0
"829",875,14,1956,12,7,1
"830",876,1,1960,11,25,1
"831",877,5,1927,1,21,0
"832",878,5,1920,4,17,1
"833",879,38,1943,12,8,0
"834",880,49,1960,2,17,1
"835",881,5,1975,2,22,0
"836",882,70,1933,9,9,0
"837",883,75,1920,1,6,0
"838",884,75,1918,10,14,1
"839",885,34,1923,2,8,1
"840",886,34,1948,2,2,1
"841",887,66,1973,11,28,0
"842",888,28,1973,10,26,1
"843",889,54,1981,10,24,0
"844",890,77,1919,3,30,1
"845",891,33,1931,1,31,1
"846",892,42,1922,5,24,0
"847",893,43,1935,10,23,0
"848",894,75,1934,8,18,1
"849",895,39,1970,7,3,1
"850",896,36,1973,4,24,0
"851",897,36,1981,3,25,1
"852",898,38,1943,4,27,0
"853",899,38,1944,2,13,1
"854",900,73,1977,4,10,1
"855",901,39,1919,12,21,1
"856",902,23,1950,8,15,1
"857",903,31,1934,3,6,1
"858",904,1,1932,2,8,1
"859",905,38,1940,10,23,1
"860",906,65,1978,6,16,1
"861",907,51,1948,3,11,1
"862",908,51,1961,3,7,0
"863",909,23,1975,9,7,1
"864",910,1,1961,9,27,1
"865",911,43,1939,11,28,1
"866",912,76,1920,10,29,1
"867",913,1,1938,11,18,1
"868",914,1,1921,1,19,0
"869",915,12,1975,5,3,1
"870",916,3,1958,6,29,1
"871",917,25,1973,9,16,0
